ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
12889,2024-07-29,Puntarenas,Puntarenas,Regional,Bloqueo,,"Vecinas y vecinos de Barranca,",Grupos y/u organizaciones de vecinos y vecinas,,Solicitar que se restablezca el servicio de agua en las comunidades ,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de agua potable","Instituto Costarricense de Acueductos y Alcantarillados, administración Chaves Robles ",Instituciones autónomas,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"Un grupo de vecinas y vecinos de Barranca, Puntarenas bloquean la ruta Interamericana para protestar por la falta de agua potable en sus comunidades durante varios días. Esto después de que un camión que transportaba plaguicidas se volcara en la ruta Cambronero y contaminara las fuentes de agua. Este hecho obligó al AyA a cerrar el paso de las tuberías de abastecimiento para evitar intoxicaciones en la población. 
",CR Hoy: VECINOS DE BARRANCA CIERRAN LA INTERAMERICANA POR FALTA DE AGUA (2024-07-29)
12996,2024-08-14,San José,Desamparados,Local,Bloqueo,,Vecinos y Vecinas de La Guaria,Grupos y/u organizaciones de vecinos y vecinas,,Protestar contra la falta de agua potable,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de agua potable",Acueductos y Alcantarrillados de la administración Chaves Robles ,Instituciones autónomas,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Vecinos y Vecinas de La Guaria, en San Rafael Arriba de Desamparados, cierran la calle para protestar contra la falta de agua potable. Esta acción tiene como objetivo presionar a las autoridades locales y al AyA empresa responsable para que tomen medidas inmediatas y restablezcan el suministro de agua, que es un servicio básico para la comunidad. La falta de respuesta ha generado frustración, impulsando a las personas vecinas a tomar esta medida. ",La Extra: DESAMPARADEÑOS CIERRAN CALLE TRAS 15 DÍAS SIN AGUA (2024-07-14)
12997,2024-08-26,San José,Goicoechea,Nacional,Declaración pública,Convocatoria,Movimiento Unidos por el Agua Guadalupe,Grupos y/u organizaciones de vecinos y vecinas,,Exigir que el agua sea reconocida como un derecho para todas las personas,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de agua potable",Gobierno de Rodrigo Chaves Robles ,Gobierno en general,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"Mediante un afiche, el Movimiento Unidos por el Agua Guadalupe convoca a las vecinas y vecinos afectados por el desabastecimiento de agua a participar en la huelga del 28 de agosto. La manifestación tiene como objetivo exigir que el agua sea reconocida como un derecho para todas las personas. El punto de encuentro será la rotonda de la Hispanidad.
",SURCOS: MOVIMIENTO UNIDOS POR EL AGUA GUADALUPE CONVOCA A LA MARCHA NACIONAL (2024-08-28)
13033,2024-08-14,San José,Goicoechea,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,,Grupos organizados de Cóbano,Grupos y/u organizaciones de vecinos y vecinas,,Interponer un recurso de amparo contra la SETENA por permitir la explotación del río Ario,Defensa del ambiente,Defensa de recurso hídrico,Sala Constitucional de la administración Chaves Robles ,Instituciones autónomas,Se recibe la petición,Participación conjunta,Particular,No registrado o no existente,"Grupos organizados de Cóbano interponen un recurso de amparo contra la SETENA por permitir la explotación del río Ario, lo cual consideran que afecta gravemente el ecosistema y los derechos ambientales de la comunidad. Las personas demandantes exigen la suspensión de los permisos otorgados para la extracción de materiales del río que, según ellos, ponen en peligro la sostenibilidad de la cuenca hidrográfica y el acceso al agua.
","SURCOS: MINERÍA AMENAZA AGUA Y ECOSISTEMAS DEL RÍO ARIO EN CÓBANO (2024-08-14), Semanario Universidad: GRUPOS ORGANIZADOS DE COBANO INTERPONEN RECURSO DE AMPARO CONTRA SETENA POR PERMITIR EXPLOTACIÓN DE RIO ARIO (2024-08-14)"
13062,2024-09-03,San José,,Regional,Declaración pública,Pronunciamiento,Bloque Verde,Grupos y/u organizaciones de ambientalistas,,Denunciar al MINSA por permitir presencia del fungicida Mancozeb en agua para consumo humano,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,Ministerio de Salud de la administración Chaves Robles,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un pronunciamiento, el Bloque Verde denuncia que el MINSA aumentó hasta 60 veces el límite máximo permitido de contaminación en agua para consumo humano, en un informe sobre el derrame del fungicida Mancozeb en una quebrada que llega al río Barranca. Esto ha expuesto a la población de la zona al consumo de este producto a través del agua, con el aval del MINSA y del AyA, que al margen de cualquier criterio técnico le han hecho creer a la población que esto no representa ningún peligro para su salud. Ante esto, la organización ecologista asegura que llevará el caso ante la Sala Constitucional. Por su parte, la ministra de Salud, Mary Munive Angermüller, niega que se haya alterado el nivel de tolerancia al fungicida Mancozeb en el agua de manera permanente, y que solo se consignó así de forma “temporal” únicamente para garantizar el acceso al agua a las y los habitantes de Esparza, Gran Chacarita, Espíritu Santo y El Roble en Puntarenas, mientras se atendía la emergencia causada por el derrame. Finalmente, asegura que las muestras recientes no indican la presencia del fungicida en el agua de la zona.
","SURCOS: LAS AUTORIDADES HAN SUMINISTRADO AGUA CON CONCENTRACIONES DE MANCOZEB HASTA 55 VECES SUPERIORES A LOS LÍMITES ESTABLECIDOS (2024-09-05), Semanario Universidad: RESULTADOS MUESTRAN QUE AGUA DE PUNTARENAS AÚN TENÍA EL FUNGICIDA MANCOZEB CUANDO SALUD AUTORIZÓ EL CONSUMO (2024-09-05), La Extra: SALUD RECHAZA PRESENCIA DE FUNGICIDA EN AGUA (2024-09-05), CR Hoy: ECOLOGISTAS DENUNCIAN QUE SALUD AUMENTÓ LÍMITES PERMITIDOS DE FUNGICIDA TRAS CONTAMINACIÓN EN BARRANCA (2024-09-03)"
13087,2024-09-30,Cartago,Cartago,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,,Frente Ecologista de Cipreses ,Grupos y/u organizaciones de ambientalistas,,Denunciar al AyA y el MINSA por incumplir con la protección de las nacientes de agua en Cipreses de Oreamuno. ,Defensa del ambiente,Lucha contra la contaminación ambiental,"Sala Constitucional, gobierno de Rodrigo Chaves Robles ",Poder Judicial,,No registrada/no existente,General,,"El Frente Ecologista de Cipreses presenta una denuncia de inejecución de sentencia ante la Sala Constitucional en Cartago, en contra del AyA y el MINSA por incumplir con la protección de las nacientes de agua en Cipreses de Oreamuno. Para la organización ecologista, las instituciones muestran una clara negligencia en relación con la contaminación de las nacientes con agroquímicos como el clorotalonil.
",SURCOS: AYA Y MINISTERIO DE SALUD VUELVEN A SALA CUARTA POR INCUMPLIMIENTO DE PROTECCIÓN DE NACIENTES EN CARTAGO  (2024-09-30)
13100,2024-09-28,Heredia,San Rafael,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,,Colectivo de ciudadanos de San Rafael de Heredia,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Denunciar el otorgamiento de permisos de construcción en la zona protegida del Pozo La Meseta,Defensa del ambiente,Lucha contra megaproyectos y/o (neo)extractivismo,"Jorge Arias Santamaría, alcalde de la Municipalidad de San Rafael de Heredia, administración Chaves Robles",Alcaldía,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"El CONCEVERDE denuncia ante el AyA, al alcalde de la Municipalidad de San Rafael de Heredia, Jorge Arias Santamaría, y al Concejo Municipal, por otorgar los permisos de construcción en la zona protegida del Pozo La Meseta, a pesar de que el SENARA y la Dirección de Planificación Urbana y Territorial de la Municipalidad emitieran un criterio técnico de no otorgar los permisos. Según la organización, esto pone en riesgo los recursos hídricos de la zona y por eso, exigen la suspensión de la obra y una evaluación ambiental completa.
",SURCOS: DENUNCIA SOBRE POZO LA MESETA  (2024-09-28)
13111,2024-09-27,San José,San José,Nacional,Declaración pública,Denuncia,Sindicato de Trabajadores de Acueductos y Alcantarillados,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Denunciar el malgasto de 50 millones de colones en la renovación de la oficina de la gerencia general ,Fiscalización de la función pública y rendición de cuentas,Lucha contra la corrupción,"Autoridades del Acueductos y Alcantarillados, gobierno de Rodrigo Chaves Robles",Instituciones autónomas,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"A través de una nota de prensa, el SITRAA acusa al AyA de malgastar 50 millones de colones en la renovación de la oficina de la gerencia general de la institución, mientras tres sectores que permanecen sin acceso al agua potable en el país, Zapote, San Vito de Coto Brus y Pavas. Para la organización sindical es prioritario invertir en tuberías en las zonas afectadas y hacer un uso juicioso de los recursos públicos. 
",CR Hoy: ACUSAN AL AYA DE INVERTIR ₡50 MILLONES EN OFICINA MIENTRAS QUE 3 SITIOS SE MANTIENEN SIN AGUA (2024-09-27)
13118,2024-09-11,Heredia,San Rafael,Nacional,Declaración pública,Pronunciamiento, CONCEVERDE ,Grupos y/u organizaciones de vecinos y vecinas,,"Denunciar varias problemáticas ambientales en el distrito de Concepción, en San Rafael de Heredia. ",Defensa del ambiente,Defensa de recurso hídrico,Sistema Nacional de Conservación de la adminsitración Chaves Robles ,Órganos desconcentrados,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un comunicado público, el colectivo ciudadano CONCEVERDE denuncia varias problemáticas ambientales en el distrito de Concepción, en San Rafael de Heredia. Según la organización, en las montañas de la zona se quiere instalar una empresa chatarrera en una zona protegida que existe desde 1888. La organización menciona la importancia de preservar estas áreas para garantizar el equilibrio ecológico y la disponibilidad de recursos hídricos. Las comunidades y activistas ambientales hacen un llamado a las autoridades del SINAC para atender la denuncia y medidas más estrictas de protección ambiental.",SURCOS: IMPACTO AMBIENTAL EN LAS MONTAÑAS DE SAN RAFAEL DE HEREDIA (2024-09-11)
13136,2024-09-19,San José,San José,Nacional,Declaración pública,Pronunciamiento,Sindicato de Trabajadores de Acueductos y Alcantarrillados ,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Señalar la negligencia de instituciones como el MINAE y el AyA en la preservación y protección de recursos hídricos,Defensa del ambiente,Defensa de recurso hídrico,Acueductos y Alcantarrillados de la administración Chaves Robles ,Instituciones autónomas,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"Mediante un pronunciamiento, el SITRAA responsabiliza a cinco entidades gubernamentales por la falta de protección en las fuentes de agua en Costa Rica. El sindicato señala la negligencia de instituciones como el MINAE y el AyA en la preservación y protección de recursos hídricos, y exige que se tomen medidas inmediatas para salvaguardar el acceso al agua potable y evitar mayores daños ambientales.",CR Hoy: SINDICATO RESPONSABILIZA A 5 ENTIDADES POR FALTA DE PROTECCION EN FUENTES DE AGUA (2024-09-19)
