ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
24,2015-01-16,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,BANDECO,Empresas privadas,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Este día, trabajadores y trabajadoras de la compañía bananera BANDECO, subsidiaria de Del Monte, se declaran en huelga. El movimiento demanda el inicio de una mesa de negociación para la firma de una nueva convención colectiva de trabajo, luego de que en diciembre pasado, venciera la anterior. Ante dicho vencimiento, la compañía liquidó a todas y todos los trabajadores y los recontrató, quedando excluidos algunos de ellos. No obstante, sostienen las y los trabajadores, no existen garantías de que serán recontratados, por lo que decidieron declarar la huelga.",CR Hoy: TRABAJADORES DE BANDECO EN FINCAS DE SIXAOLA ESTÁN EN HUELGA (2015-01-16)
25,2015-01-24,Limón,Talamanca,Regional,Bloqueo,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Solucionar la huelga en BANDECO.,Intervención de gobierno,,Administración Solís Rivera,Gobierno en general,No registrada/no existente,,Particular,No registrado o no existente,"Un grupo de trabajadores y trabajadoras de la compañía bananera BANDECO, ubicada en Sixaola de Limón, cierra el paso sobre la carretera Sixaola-Limón para demandar la intervención del gobierno en el conflicto entre trabajadores y trabajadoras desatado luego de un cambio en la política laboral de la empresa. Según se reporta, en diciembre pasado, la compañía despidió a todas las y los trabajadores y los recontrató bajo nuevas condiciones laborales, ocasionando el malestar de un sector de las y los trabajadores. Los que protestan este día, se manifiestan de acuerdo con la nueva política, argumentando que se acerca el inicio del período lectivo y que necesitan regresar a trabajar para suplir los gastos de sus familias. Durante el bloqueo, se presenta un enfrentamiento entre ambos bandos de trabajadores, resultando en dos de estos heridos. Asimismo, el grupo de trabajadores y trabajadoras que se mantiene bloqueando, anuncia nuevos cortes de ruta para la siguiente semana.","La Nación: CONFLICTO DE EMPLEADOS PARALIZA FINCA BANANERA (2015-01-25), CR Hoy: TRABAJADORES DE BANANERA ANUNCIAN EL CIERRE DEL PASO POR SIXAOLA EL PRÓXIMO LUNES (2015-01-24)"
26,2015-01-24,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,Administración Solís Rivera,Gobierno en general,No registrada/no existente,,Particular,No registrado o no existente,"Un grupo de trabajadores y trabajadoras de la compañía bananera BANDECO, ubicada en Sixaola de Limón, cierra el paso sobre la carretera Sixaola-Limón para demandar la intervención del gobierno en el conflicto entre trabajadores y trabajadoras desatado luego de un cambio en la política laboral de la empresa. Según se reporta, en diciembre pasado, la compañía despidió a todas las y los trabajadores y los recontrató bajo nuevas condiciones laborales, ocasionando el malestar de un sector de las y los trabajadores. Los que protestan este día, se manifiestan de acuerdo con la nueva política, argumentando que se acerca el inicio del período lectivo y que necesitan regresar a trabajar para suplir los gastos de sus familias. Durante el bloqueo, se presenta un enfrentamiento entre ambos bandos de trabajadores, resultando en dos de estos heridos. Asimismo, el grupo de trabajadores y trabajadoras que se mantiene bloqueando, anuncia nuevos cortes de ruta para la siguiente semana.","La Nación: ONFLICTO DE EMPLEADOS PARALIZA FINCA BANANERA (2015-01-25), CR Hoy: RABAJADORES DE BANANERA ANUNCIAN EL CIERRE DEL PASO POR SIXAOLA EL PRÓXIMO LUNES (2015-01-24)"
27,2015-01-27,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,MTSS,Ministerios,No registrada/no existente,,Particular,No registrado o no existente,"Luego de 12 días de huelga, las y los trabajadores de la compañía bananera, declarados en huelga desde el 16 de enero se mantienen esperando la intervención del MTSS. De acuerdo con Luis Solano, presidente del SITEPP, se han presentado las denuncias correspondientes ante ese ministerio y el Ministerio Público. Sin embargo, aún no han intervenido. La huelga, según reportes, se generó luego de que la empresa, subsidiaria de la transnacional Del Monte, despidiera a todos sus trabajadores en diciembre pasado y los recontratara bajo nuevas condiciones salariales, además de no recontratar a algunos de ellos.",CR Hoy: TRABAJADORES DE BANANERA ESPERAN INTERVENCIÓN DEL MINISTERIO DE TRABAJO LUEGO DE 12 DÍAS DE HUELGA (2015-01-27)
28,2015-01-27,Limón,Talamanca,Regional,Marcha,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Solucionar la huelga en BANDECO.,Intervención de gobierno,,MTSS,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"El grupo de trabajadores y trabajadoras bananeras que exige la intervención del MTSS en la huelga de BANDECO, organiza este día una marcha en Sixaola, para demandar la acción de dicho ministerio. Este grupo se ha manifestado en contra de la huelga declarada por otro grupo de trabajadores y trabajadoras de la misma compañía contra cambios en la política salarial. ",La Nación: EMPLEADOS DE FINCA BANANERA EN SIXAOLA REALIZARON MARCHA PARA RETOMAR SU TRABAJO (2015-01-27)
29,2015-01-28,Limón,Talamanca,Regional,Bloqueo,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Solucionar la huelga en BANDECO.,Intervención de gobierno,,MTSS,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mientras continúa la huelga en las fincas 1, 2 y 3 de la compañía bananera BANDECO, el grupo de trabajadores y trabajadoras de esta empresa que el día anterior marchó sobre las calles de Sixaola, establece un bloqueo sobre la ruta 36 para demandar la intervención del MTSS en el conflicto que mantiene paralizadas dichas fincas.",La Extra: EMPLEADOS COLAPSAN SIXAOLA (2015-01-28)
30,2015-01-28,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,MTSS,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mientras continúa la huelga en las fincas 1, 2 y 3 de la compañía bananera BANDECO, el grupo de trabajadores y trabajadoras de esta empresa que el día anterior marchó sobre las calles de Sixaola, establece un bloqueo sobre la ruta 36 para demandar la intervención del MTSS en el conflicto que mantiene paralizadas dichas fincas.",La Extra: EMPLEADOS COLAPSAN SIXAOLA (2015-01-28)
31,2015-01-30,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,MTSS,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Continúa el movimiento de huelga en la compañía bananera BANDECO, ubicada en Sixaola. Este día se anuncia una reunión entre Harold Villegas, viceministro de Trabajo, y la empresa para buscar soluciones a las demandas de las y los trabajadores.  ",CR Hoy: VICEMINISTRO DE TRABAJO Y EMPRESA BANANERA SE REUNIRÁN PARA DEFINIR FUTURO DE EMPLEADOS (2015-01-30)
95,2015-02-16,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Solucionar la huelga en BANDECO.,Intervención de gobierno,,MTSS,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Continúa la huelga en las fincas bananeras 1, 2 y 3, ubicadas en Limón, propiedad de BANDECO, subsidiaria de la transnacional Del Monte. El conflicto mantiene enfrentados a dos bandos de trabajadores y trabajadoras. Mientras uno de los bandos, conformados por miembros del SITEPP, declararon un movimiento de protesta desde enero, ante la no re-contratación de un grupo de trabajadores y trabajadoras luego de finalizada la relación laboral de acuerdo con los términos de la convención colectiva de trabajo; el otro, integrado por miembros de la UNTRABASI, reclama el regreso a las labores en la finca. Asimismo, el conflicto ha enfrentado a las dos organizaciones sindicales por la legal y legítima representación de las y los trabajadores ante la empresa. Durante el fin de semana, Ana Gabriel Zuñiga, viceministra de la Presidencia, sostiene tres reuniones. Primero, dos con cada uno de los bandos por separado y una tercera con los sindicatos y con la empresa. En ninguna de estas se encuentra una solución para el conflicto. ",La Extra: BANDECO CUMPLE UN MES DE HUELGA SIN DAR BRAZO A TORCER (2015-02-16)
96,2015-01-23,Limón,Talamanca,Regional,Huelga,,Trabajadoras y Trabajadores de BANDECO,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Negociar nueva convención colectiva.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,MTSS,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"El grupo de trabajadoras y trabajadores bananeros de las fincas 1, 2 y 3 de BANDECO, despedidos el mes de diciembre y que desde el 16 de este mes iniciaron un movimiento de huelga, continúa con la protesta. Dicho grupo, integrado por miembros del SITEPP, ha sido calificado por BANDECO como ""usurpadores"", pues mantienen ocupadas las fincas como medida de presión. Según sostiene el representante legal de la empresa, subsidiaria de la transnacional Del Monte, no se trata de trabajadoras y trabajadores de la empresa, pues no existe relación laboral entre las partes, lo cual los califica como ""usurpadores"". El conflicto desatado luego de la finalización de la convención colectiva de trabajo suscrita con el SITEPP, mantiene enfrentados a dos bandos de trabajadoras y trabajadores, representados por el UNTRABASI y por el SITEPP. Asimismo, los dos sindicatos mantienen una disputa por la representación mayoritaria ante la patronal. ",CR Hoy: BANDECO TRABAJA AL 80% LUEGO DE CONFLICTO CON TRABAJADORES; NECESITA CONTRATAR A 100 PARA TAREAS DE CAMPO (2015-02-23)
