ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
12929,2024-07-16,Heredia,San Rafael,Nacional,Denuncia ante entidades nacionales y/o entidades internacionales,,CONCEVERDE,Grupos y/u organizaciones de ambientalistas,,Solicitar informes al MINAE sobre el cumplimiento de los trámites para recuperar terrenos en la zona protegida del parque Braulio Carrillo ,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,"Ministro de Ambiente y Energía, Franz Tattenbach Capra de la administración Chaves Robles ",Ministerios,Se recibe la petición,No registrada/no existente,Particular,No registrado o no existente,"Mediante una carta pública dirigida al ministro de Ambiente y Energía, Franz Tattenbach Capra, la organización CONCEVERDE, representada por el abogado José Francisco Alfaro Carvajal, solicita información sobre las acciones desarrolladas para el cumplimiento de la resolución N.º 2023-017109 del Expediente 22-027662-0007-CO del 14 de julio del 2023. Esta acción le impone al MINAE iniciar los trámites correspondientes para la recuperación de los terrenos que se ubican en la zona inalienable creada el 30 de julio de 1888 por la Ley 65, y que estén siendo ocupados por particulares. ",SURCOS: SOLICITUD DE INFORMACIÓN SOBRE CUMPLIMIENTO DE ORDEN DE LA SALA CONSTITUCIONAL (2024-07-18)
12963,2024-07-29,San José,San José,Nacional,Declaración pública,Pronunciamiento,Parlamento Cívico Ambiental de Costa Rica,Grupos y/u organizaciones de ambientalistas,,Protestar por el asesinato de Eugenio Androvetto Villalobos.,Defensa del ambiente,Lucha contra la contaminación ambiental,Gobierno de Rodrigo Chaves Robles ,Gobierno en general,No registrada/no existente,Participación conjunta,General,No registrado o no existente,"Más de 40 organizaciones sociales agrupadas en el Parlamento Cívico Ambiental de Costa Rica firman un manifiesto para protestar por el asesinato del director Protección Radiológica y Salud Ambiental del MINSA, Eugenio Androvetto Villalobos. Para las organizaciones el crimen de Androvetto Villalobos muestra la vulnerabilidad de las personas defensoras del medio ambiente en Costa Rica y exigen justicia y mayor protección estatal de parte del gobierno. 
",SURCOS: MANIFIESTO EN DEFENSA DE LA VIDA Y LOS DERECHOS DE LAS Y LOS AMBIENTALISTAS. EL VIL ASESINATO DEL COMPAÑERO LUCHADOR EUGENIO ANDROVETTO VILLALO (2024-08-01)
12996,2024-08-14,San José,Desamparados,Local,Bloqueo,,Vecinos y Vecinas de La Guaria,Grupos y/u organizaciones de vecinos y vecinas,,Protestar contra la falta de agua potable,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de agua potable",Acueductos y Alcantarrillados de la administración Chaves Robles ,Instituciones autónomas,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Vecinos y Vecinas de La Guaria, en San Rafael Arriba de Desamparados, cierran la calle para protestar contra la falta de agua potable. Esta acción tiene como objetivo presionar a las autoridades locales y al AyA empresa responsable para que tomen medidas inmediatas y restablezcan el suministro de agua, que es un servicio básico para la comunidad. La falta de respuesta ha generado frustración, impulsando a las personas vecinas a tomar esta medida. ",La Extra: DESAMPARADEÑOS CIERRAN CALLE TRAS 15 DÍAS SIN AGUA (2024-07-14)
13011,2024-08-13,Limón,Talamanca,Nacional,Declaración pública,Denuncia,Habitantes del Caribe Sur,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Denunciar la inacción del ministro de Ambiente frente a las amenazas de muerte contra líderes ambientales que defienden el Refugio Gandoca-Manzanillo,Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Franz Tattenbach Capra ministro de Ambiente de la administración Chaves Robles ,Ministerios,No registrada/no existente,Participación conjunta,Particular,Amenaza,"Mediante un comunicado público, personas, habitantes del Caribe Sur y activistas denuncian la inacción del ministro de Ambiente, Franz Tattenbach Capra, frente a las amenazas de muerte contra líderes ambientales que defienden el Refugio Gandoca-Manzanillo. Aseguran que el ministro niega la gravedad de estas amenazas y permite irregularidades ambientales vinculadas a tala ilegal. Exigen al Estado costarricense cumplir con su obligación de proteger a las personas defensoras del ambiente y aplicar medidas urgentes para garantizar su seguridad.",SURCOS: MINISTRO DE AMBIENTE FRANZ TATTENBACH DESPROTEGE GANDOCA-MANZANILLO Y NIEGA AMENAZAS DE MUERTE A LÍDERES AMBIENTALISTAS (2024-08-13)
13033,2024-08-14,San José,Goicoechea,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,,Grupos organizados de Cóbano,Grupos y/u organizaciones de vecinos y vecinas,,Interponer un recurso de amparo contra la SETENA por permitir la explotación del río Ario,Defensa del ambiente,Defensa de recurso hídrico,Sala Constitucional de la administración Chaves Robles ,Instituciones autónomas,Se recibe la petición,Participación conjunta,Particular,No registrado o no existente,"Grupos organizados de Cóbano interponen un recurso de amparo contra la SETENA por permitir la explotación del río Ario, lo cual consideran que afecta gravemente el ecosistema y los derechos ambientales de la comunidad. Las personas demandantes exigen la suspensión de los permisos otorgados para la extracción de materiales del río que, según ellos, ponen en peligro la sostenibilidad de la cuenca hidrográfica y el acceso al agua.
","SURCOS: MINERÍA AMENAZA AGUA Y ECOSISTEMAS DEL RÍO ARIO EN CÓBANO (2024-08-14), Semanario Universidad: GRUPOS ORGANIZADOS DE COBANO INTERPONEN RECURSO DE AMPARO CONTRA SETENA POR PERMITIR EXPLOTACIÓN DE RIO ARIO (2024-08-14)"
13087,2024-09-30,Cartago,Cartago,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,,Frente Ecologista de Cipreses ,Grupos y/u organizaciones de ambientalistas,,Denunciar al AyA y el MINSA por incumplir con la protección de las nacientes de agua en Cipreses de Oreamuno. ,Defensa del ambiente,Lucha contra la contaminación ambiental,"Sala Constitucional, gobierno de Rodrigo Chaves Robles ",Poder Judicial,,No registrada/no existente,General,,"El Frente Ecologista de Cipreses presenta una denuncia de inejecución de sentencia ante la Sala Constitucional en Cartago, en contra del AyA y el MINSA por incumplir con la protección de las nacientes de agua en Cipreses de Oreamuno. Para la organización ecologista, las instituciones muestran una clara negligencia en relación con la contaminación de las nacientes con agroquímicos como el clorotalonil.
",SURCOS: AYA Y MINISTERIO DE SALUD VUELVEN A SALA CUARTA POR INCUMPLIMIENTO DE PROTECCIÓN DE NACIENTES EN CARTAGO  (2024-09-30)
13101,2024-09-28,San José,Montes de Oca,Regional,Ciber-acciones o acciones colectivas en Internet,,Frente Ecologista Universitario,Grupos y/u organizaciones de ambientalistas,,Denunciar que se les impidió ingresar a una sesión del Concejo Municipal donde se discute la realización de un tope en ese cantón. ,Defensa del ambiente,Defensa de los animales,"Domingo Argüello García, alcalde de Montes de Oca, administración Chaves Robles",Alcaldía,No diálogo,No registrada/no existente,General,No registrado o no existente,"El FECOU denuncia en redes sociales al alcalde de Montes de Oca, Domingo Argüello García, por impedir su ingreso a una sesión del Concejo Municipal donde se discute la realización de un tope en ese cantón. Según la organización, en la entrada del Palacio Municipal se alegó que el aforo estaba completo, bloqueando el acceso a las personas. Según el FECOU, esto refleja un intento de silenciar sus demandas contra el tope y una falta de transparencia por parte del alcalde.
",SURCOS: FECOU DENUNCIA AL ALCALDE DE MONTES DE OCA  (2024-09-28)
13104,2024-09-24,Guanacaste,Liberia,Regional,Declaración pública,Pronunciamiento,Confraternidad Guanacasteca,Grupos y/u organizaciones de ciudadanos y ciudadanas,,"Denuncia a la ministra de la Presidencia, Laura Fernández Delgado, por no cumplir con las funciones relacionadas al nombramiento de las y los jueces del Tribunal Ambiental ",Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,"La ministra de la Presidencia, Laura Fernández Delgado, administración Chaves Robles",Jerarcas de instituciones públicas,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"A través de un comunicado, la Confraternidad Guanacasteca denuncia a la ministra de la Presidencia, Laura Fernández Delgado, por no cumplir con las funciones relacionadas al nombramiento de las y los jueces del TAA, que se encargan de analizar y castigar delitos ambientales. Según una carta emitida por Fernández Delgado, ella desconocía que le correspondía efectuar estos nombramientos, hecho que para la Confraternidad Guanacasteca demuestra la pérdida de recursos económicos y de tiempo que se da con el gobierno de Rodrigo Chaves Robles, así como un claro desinterés en temas medioambientales. 
",SURCOS: MINISTRA DE LA PRESIDENCIA LAURA FERNÁNDEZ CONTRA JUSTICIA PRONTA Y CUMPLIDA (2024-09-21)
13113,2024-09-11,Puntarenas,Golfito,Local,Declaración pública,Convocatoria,Comité de Turismo de La Gamba,Grupos y/u organizaciones de vecinos y vecinas,,Invitar a la comunidad a participar en el “Festival Ambiental en la Gamba” ,Defensa del ambiente,,Vecinos y vecinas de golfito ,Población en general,No registrada/no existente,Participación conjunta,Particular,No registrado o no existente,"La ADI y el Comité de Turismo de La Gamba invitan a la comunidad a participar en el “Festival Ambiental en la Gamba” que se realiza en el Salón Comunal de la localidad, ubicado en el cantón de Golfito, Zona Sur. El evento se llevará a cabo desde las 9:00 a.m. hasta las 4:00 p.m. El evento promueve el cuidado de la naturaleza a través de actividades educativas y culturales, involucrando a personas de todas las edades en temas como la protección de ecosistemas locales y la sostenibilidad.",SURCOS: FESTIVAL AMBIENTAL EN LA GAMBA: UNA INICIATIVA DE CONSERVACIÓN Y COMUNIDAD (2024-09-11)
13118,2024-09-11,Heredia,San Rafael,Nacional,Declaración pública,Pronunciamiento, CONCEVERDE ,Grupos y/u organizaciones de vecinos y vecinas,,"Denunciar varias problemáticas ambientales en el distrito de Concepción, en San Rafael de Heredia. ",Defensa del ambiente,Defensa de recurso hídrico,Sistema Nacional de Conservación de la adminsitración Chaves Robles ,Órganos desconcentrados,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un comunicado público, el colectivo ciudadano CONCEVERDE denuncia varias problemáticas ambientales en el distrito de Concepción, en San Rafael de Heredia. Según la organización, en las montañas de la zona se quiere instalar una empresa chatarrera en una zona protegida que existe desde 1888. La organización menciona la importancia de preservar estas áreas para garantizar el equilibrio ecológico y la disponibilidad de recursos hídricos. Las comunidades y activistas ambientales hacen un llamado a las autoridades del SINAC para atender la denuncia y medidas más estrictas de protección ambiental.",SURCOS: IMPACTO AMBIENTAL EN LAS MONTAÑAS DE SAN RAFAEL DE HEREDIA (2024-09-11)
13126,2024-09-13,Puntarenas,Osa,Nacional,Declaración pública,Pronunciamiento,Comités de Vigilancia de los Recursos Naturales,Grupos y/u organizaciones de ambientalistas,,Ponunciamiento contra la amenaza de extracción minera de oro en el Parque Nacional Corcovado.,Defensa del ambiente,Lucha contra megaproyectos y/o (neo)extractivismo,Gobierno de la administración Chaves Robles ,Gobierno en general,No registrada/no existente,Apoyo solidario,Particular,No registrado o no existente,"Mediante un comunicado público, los COVIRENAS de Costa Rica se pronuncian contra la amenaza de extracción minera de oro en el Parque Nacional Corcovado. Estos alertan sobre el grave impacto ambiental que esta actividad tendría en uno de los ecosistemas más biodiversos del país, y le exigen al Estado que refuerce la protección de este patrimonio natural y rechace cualquier proyecto minero que ponga en riesgo el parque.",SURCOS: COVIRENAS COSTA RICA SE PRONUNCIAN ANTE AMENAZA DE EXTRACCIÓN MINERA DE ORO EN PARQUE NACIONAL CORCOVADO (2024-09-13)
