ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
12860,2024-07-10,Puntarenas,Puntarenas,Regional,Declaración pública,Pronunciamiento,Vecinos y vecinas de isla Chira,Grupos y/u organizaciones de vecinos y vecinas,,Separar a isla Chira de la provincia de Puntarenas y pertenecer a Guanacaste,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,Tribunal Contencioso Administrativo,Poder Judicial,No registrada/no existente,Participación conjunta,Particular,No registrado o no existente,"Un grupo de vecinas y vecinos de Isla Chira interponen un recurso ante el TCA, y se manifiestan en las afueras de esa institución, para solicitar que la isla no pertenezca más a la provincia de Puntarenas, y pase a ser de Guanacaste, así como los territorios de Cóbano, Lepanto y Paquera, ubicados en el Golfo de Nicoya.
",CR Hoy: VECINOS DE ISLA CHIRA NO QUIEREN SER DE PUNTARENAS Y PIDEN SU ANEXIÓN A GUANACASTE (2024-07-10)
12869,2024-07-23,Puntarenas,Buenos Aires,Regional,Toma de propiedad,,Las comunidades indígenas de Cabagra,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Indígenas,Recuperar más de 13 mil hectáreas de tierra ,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,"Instituto de Desarrollo Rural, gobierno de Rodrigo Chaves Robles",Instituciones autónomas,Respuesta positiva por vía legal,No registrada/no existente,Particular,No registrado o no existente,"Las comunidades indígenas de Cabagra, en Buenos Aires de Puntarenas, recuperan más de 13 mil hectáreas de tierra en el marco de la implementación del Plan RTI. El INDER, la CONAI y la ADI de Cabagra participan en el acto de devolución de las tierras. Según las comunidades indígenas los terrenos serán utilizados para el ordenamiento cultural. 
",SURCOS: CABAGRA AVANZA EN LOS PROCESOS DE RECUPERACIÓN DE TIERRAS MEDIANTE INDEMNIZACIÓN (2024-07-27)
12925,2024-07-15,Guanacaste,Carrillo,Local,Bloqueo,,Vecinos y vecinas de la comunidad de Corralillo ,Grupos y/u organizaciones de vecinos y vecinas,,Solicitar la reparación de la carretera ,"Mejora y/o defensa en el acceso, calidad y costo de la infraestructura pública",,Municipalidad de Carrillo de la administración Chaves Robles ,Alcaldía,Acuerdo tras negociación,No registrada/no existente,Particular,No registrado o no existente,"Un grupo de vecinos y vecinas de la comunidad de Corralillo cierran el tránsito por la carretera que comunica la localidad con Guinea, para solicitar a la Municipalidad de Carrillo la reparación de esta vía. Luego de un diálogo con la alcaldesa Diana Méndez, esta envía a personal técnico a la zona para hacer una inspección y se compromete con su reparación. 

",La Extra: VECINOS DE CORRALILLO SE MANIFIESTAN CONTRA MUNICIPALIDAD (2024-07-15)
12928,2024-07-16,Heredia,Heredia,Nacional,Declaración pública,Pronunciamiento,Federación de Estudiantes de la Universidad Nacional ,Grupos y/u organizaciones de estudiantes y madres y padres,De educación superior,Informar sobre las acciones del movimiento indigena universitario ,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,Población en en general ,Población en general,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un comunicado público, la FEUNA informa sobre las labores del movimiento MEIUNA. Este es un espacio integrado al directorio de la organización, dedicado a promover la cultura, los derechos y la participación de los pueblos indígenas dentro de la universidad. Este movimiento busca visibilizar las luchas y reivindicaciones de las comunidades indígenas, fomentando el diálogo y la inclusión en el ámbito académico.",SURCOS: FUERZA INDÍGENA EN LA UNA (2024-07-16)
12929,2024-07-16,Heredia,San Rafael,Nacional,Denuncia ante entidades nacionales y/o entidades internacionales,,CONCEVERDE,Grupos y/u organizaciones de ambientalistas,,Solicitar informes al MINAE sobre el cumplimiento de los trámites para recuperar terrenos en la zona protegida del parque Braulio Carrillo ,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,"Ministro de Ambiente y Energía, Franz Tattenbach Capra de la administración Chaves Robles ",Ministerios,Se recibe la petición,No registrada/no existente,Particular,No registrado o no existente,"Mediante una carta pública dirigida al ministro de Ambiente y Energía, Franz Tattenbach Capra, la organización CONCEVERDE, representada por el abogado José Francisco Alfaro Carvajal, solicita información sobre las acciones desarrolladas para el cumplimiento de la resolución N.º 2023-017109 del Expediente 22-027662-0007-CO del 14 de julio del 2023. Esta acción le impone al MINAE iniciar los trámites correspondientes para la recuperación de los terrenos que se ubican en la zona inalienable creada el 30 de julio de 1888 por la Ley 65, y que estén siendo ocupados por particulares. ",SURCOS: SOLICITUD DE INFORMACIÓN SOBRE CUMPLIMIENTO DE ORDEN DE LA SALA CONSTITUCIONAL (2024-07-18)
12939,2024-07-18,Limón,Siquirres,Regional,Asamblea,,Sindicato de Trabajadores de Plantaciones,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Formar una alianza organizativa con el fin de luchar por mejores condiciones de trabajo y vida ,Defensa del trabajo y las condiciones laborales,Mejora y/o mantenimiento de las condiciones laborales,Sindicatos de personas trabajadoras del sector agroindustrial,"Organizaciones sindicales, sociales, comunales",No registrada/no existente,Participación conjunta,Particular,No registrado o no existente,"Un grupo de once organizaciones sindicales se reúnen en la sede del SITRAP, ubicado en Siquirres, para formar una alianza organizativa con el fin de luchar por mejores condiciones de trabajo y vida para las personas trabajadoras del sector agroindustrial. Dentro de la reunión participan organizaciones como el SITRAPA, la FENTRAGH, el INTRAPYBCR, el SINATRAA y el SCITA. El proceso tiene el apoyo de la fundación Friedrich Ebert. ",SURCOS: UNIDAD SINDICAL POR DERECHOS DE LAS PERSONAS TRABAJADORAS AGROINDUSTRIALES Y LA LIBERTAD SINDICAL (2024-07-29)
12943,2024-07-18,San José,San José,Nacional,Concentración,,Sindicato de Trabajadores de Plantaciones,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Protestar contra las omisiones realizadas en procesos de atención por riesgos de trabajo,Defensa del trabajo y las condiciones laborales,Mejora y/o mantenimiento de las condiciones laborales,Instituto Nacional de Seguros de la administración Chaves Robles ,Instituciones autónomas,Se recibe la petición,Participación conjunta,Particular,No registrado o no existente,"Un grupo de personas trabajadoras de plantaciones agrícolas de banano y piña, se concentra en las afueras del edificio central del INS para protestar contra las omisiones realizadas en procesos de atención por riesgos de trabajo. Dentro de la acción participan personas afiliadas al SITRAP y a la ANEP, que solicitan que el INS aclare el funcionamiento de la póliza de riesgo de trabajo y modifique la normativa que permite que patrones evadan su responsabilidad sobre el tema. ",SURCOS: EL GRAN PROBLEMA DEL PASE AL INS Y EL DERECHO A LA SALUD DE TRABAJADORES Y TRABAJADORAS DE PLANTACIONES AGRÍCOLAS (2024-07-18)
12944,2024-07-18,San José,Goicoechea,Nacional,Denuncia ante entidades nacionales y/o entidades internacionales,,Sindicato de Trabajadores de Plantaciones y otros ,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Presentar una demanda contra el INS ante el Tribunal Contencioso Administrativo debido a las restricciones reglamentarias de la institución para acceder a la atención por riesgo de trabajo,Defensa del trabajo y las condiciones laborales,Mejora y/o mantenimiento de las condiciones laborales,Tribunal Contencioso Administrativo de la administración Chaves Robles ,Poder Judicial,Se recibe la petición,Participación conjunta,Particular,No registrado o no existente,"Un grupo de ocho sindicatos de plantaciones agrícolas presentan una demanda contra el INS ante el Tribunal Contencioso Administrativo debido a las restricciones reglamentarias de la institución para acceder a la atención por riesgo de trabajo. Dentro de las organizaciones participantes se encuentran SITRAP, ANEP, COSIBACR y FENTRAGH. ",La Extra: SINDICATOS DEMANDAN AL INS ANTE EL TRIBUNAL CONTENCIOSO ADMINISTRATIVO (2024-07-18)
12959,2024-08-11,Puntarenas,Buenos Aires,Nacional,Declaración pública,Pronunciamiento,Mujeres Mano de Tigre,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Indígenas,Reflexionar sobre el día internacional de los pueblos indígenas en defensa de los derechos de las mujeres indígenas en Costa Rica,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,Población en general ,Población en general,No registrada/no existente,No registrada/no existente,General,No registrado o no existente,"La organización Mujeres Mano de Tigre, enviado un comunicado público donde reflexiona sobre el día internacional de los pueblos indígenas en defensa de los derechos de las mujeres indígenas en Costa Rica. Exigen justicia social, acceso a la educación y salud, y la protección de sus territorios ancestrales. Sus demandas están dirigidas al Estado costarricense, al cual acusan de no garantizar estos derechos ni de proteger a las defensoras de derechos humanos indígenas. ",SURCOS: MUJERES MANO DE TIGRE A PROPÓSITO DEL DÍA INTERNACIONAL DE LOS PUEBLOS INDÍGENAS (2024-08-11)
12966,2024-08-19,San José,Pérez Zeledón,Regional,Declaración pública,Pronunciamiento,Red de Mujeres Rurales ,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Exigir justicia por el asesinato de líder indígena Jerhy Rivera Rivera,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,Tribunales de Justicia de Perez Zeledón ,Poder Judicial,No registrada/no existente,Participación conjunta,Particular,No registrado o no existente,"Un grupo de mujeres pertenecientes a la Red de Mujeres Rurales se solidariza con doña Digna, madre de Jerhy Rivera, al inicio del juicio por el asesinato de su hijo, un líder indígena. La concentración se da en las afueras de los Tribunales de Justicia de Pérez Zeledón donde la organización exige justicia y protección para los defensores de los derechos indígenas en Costa Rica. ","SURCOS: RED DE MUJERES RURALES PRESENTE EN SOLIDARIDAD CON DOÑA DIGNA, LA MAMÁ DE JERHY RIVERA AL INICIO DEL JUICIO POR SU ASESINATO (2024-08-20)"
