ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
12869,2024-07-23,Puntarenas,Buenos Aires,Regional,Toma de propiedad,,Las comunidades indígenas de Cabagra,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Indígenas,Recuperar más de 13 mil hectáreas de tierra ,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,"Instituto de Desarrollo Rural, gobierno de Rodrigo Chaves Robles",Instituciones autónomas,Respuesta positiva por vía legal,No registrada/no existente,Particular,No registrado o no existente,"Las comunidades indígenas de Cabagra, en Buenos Aires de Puntarenas, recuperan más de 13 mil hectáreas de tierra en el marco de la implementación del Plan RTI. El INDER, la CONAI y la ADI de Cabagra participan en el acto de devolución de las tierras. Según las comunidades indígenas los terrenos serán utilizados para el ordenamiento cultural. 
",SURCOS: CABAGRA AVANZA EN LOS PROCESOS DE RECUPERACIÓN DE TIERRAS MEDIANTE INDEMNIZACIÓN (2024-07-27)
12884,2024-07-27,Puntarenas,Buenos Aires,Regional,Asamblea,,La comunidad indígena de Rey Curré/Yimba,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Indígenas,"Discutir la implementación de Planes Ambientales Forestales Territoriales propuesto por el Ministerio de Ambiente y Energía 

",Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,"Ministerio de Ambiente y Energía, administración Chaves Robles ",Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"La comunidad indígena de Rey Curré/Yimba desarrolla una asamblea para discutir la implementación de los PAFT propuestos por el MINAE y el MIDEPLAN, en el territorio. En la sesión se aprueban dichos planes y se establecen los mecanismos de administración y distribución de los beneficios económicos derivados de los CREF. 
",SURCOS: CURRÉ_YIMBA APRUEBA LA IMPLEMENTACIÓN DEL PAFT EN SU TERRITORIO - SURCOSSURCOS (2024-07-27)
12913,2024-08-03,San José,Curridabat,Regional,Declaración pública,Pronunciamiento,Vecinos/as de Miravalles de Tirrases,Grupos y/u organizaciones de vecinos y vecinas,,Posponer orden de desalojo en su contra,Intervención de gobierno,Solicitud de vivienda,Ministerio de Salud de la administración Chaves Robles,Ministerios,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un comunicado, un grupo de vecinos y vecinas de Miravalles de Tirrases, en Curridabat, se pronuncian respecto a la decisión del MINSA de emitir el pasado 21 de julio una orden de desalojo a 110 familias por vivir en una zona vulnerable. Las y los vecinos califican de precipitada la orden de desalojo, y le solicitan a las autoridades realizar al menos cuatro acciones previo a ejecutarla. Además, informan que ya presentaron un recurso de revocatoria y apelación subsidiaria ante la oficina cantonal del ministerio.
",La Extra: VECINOS DE TIRRASES HACEN 4 PETICIONES ANTES DE SER DESALOJADOS (2024-08-03)
12917,2024-08-05,San José,San José,Regional,Concentración,,Vecinos/as de Miravalles de Tirrases,Grupos y/u organizaciones de vecinos y vecinas,,Posponer desalojo en su contra,Intervención de gobierno,Solicitud de vivienda,Gobierno de Rodrigo Chaves Robles,Gobierno en general,No registrada/no existente,Participación conjunta,Particular,No registrado o no existente,"Un grupo de vecinos y vecinas de Miravalles de Tirrases, de Curridabat, se manifiesta en las afueras de la Casa Presidencial, en contra de la orden de desalojo emitida por el MINSA el pasado 21 de julio, en contra de 110 familias, por vivir en una zona vulnerable. Las y los vecinos consideran precipitada esta decisión, y solicitan más tiempo para poder abandonar sus casas, así como un apoyo institucional adecuado en este proceso. Las y los manifestantes portan carteles con consignas como “Por un desalojo digno”.
","La Extra: “QUEREMOS REUBICACIÓN Y ESTUDIOS TÉCNICOS” (2024-08-06), CR Hoy: FAMILIAS PIDEN TIEMPO PARA SALIR DE SUS CASAS TRAS ORDEN DE DESALOJO EN TIRRASES  (2024-08-05)"
12920,2024-08-05,Puntarenas,Buenos Aires,Regional,Declaración pública,Pronunciamiento,Mujeres indígenas recuperadoras,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Indígenas,Solicitar al gobierno y al Estado costarricense hacer cumplir la ley de territorios indígenas,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,Gobierno de Rodrigo Chaves Robles,Gobierno en general,No registrada/no existente,Participación conjunta,Particular,No registrado o no existente,"Un grupo de mujeres indígenas recuperadoras de las etnias cabécares, broran y bribris, de los territorios de China Kichá, Salitre y Térraba, emiten un comunicado conjunto luego de participar en un Encuentro de Mujeres recuperadoras del Sur, en el que reafirman sus reivindicaciones en defensa de sus territorios, y le solicitan al gobierno de Rodrigo Chaves Robles y al Estado costarricense hacer cumplir la ley, para defender y hacer cumplir los derechos de los pueblos indígenas, y evitar así más violencia en su contra.
",SURCOS: ENCUENTRO DE MUJERES RECUPERADORAS DEL SUR DE COSTA RICA (2024-08-05)
12976,2024-08-23,Limón,Limón,Regional,Declaración pública,Convocatoria,Unión Provincial de Limón,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Oponerse al nuevo reglamento para el cobro de arriendo en terrenos ubicados en las fincas de JAPDEVA,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos","Junta de Administración Portuaria y de Desarrollo Económico de la Vertiente Atlántica de Costa Rica, gobierno de Rodrigo Chaves Robles",Instituciones autónomas,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un video, la ULIPROLI convoca a la población limonense a manifestarse en contra el nuevo reglamento para el cobro de arriendo en terrenos ubicados en las fincas de JAPDEVA. Según la organización sindical, este instrumento tiene como finalidad desalojar a las personas que han residido en estas tierras por más de 90 años y nuevamente, constituye una vulnerabilización de los derechos de las personas limonenses. Por su parte, la junta directiva de JAPDEVA niega que tenga pretensiones de perjudicar a las personas habitantes y aclara que este reglamento estuvo en consulta pública por 15 días en la páginas del MEIC antes de ser aprobado. 
",CR Hoy: LIMONENSES CONVOCAN A PROTESTAS POR COBROS DE ARRIENDO EN TERRENOS DE JAPDEVA (2024-08-23)
12986,2024-08-24,San José,San José,Local,Concentración,,Vecinas y vecinos del sector de Miravalles 2 de Tirrases de Curridabat ,Grupos y/u organizaciones de vecinos y vecinas,,Recibir un acompañamiento digno de desalojo de sus viviendas,Intervención de gobierno,Solicitud de vivienda,"Ministerio de Salud, administración Chaves Robles ",Ministerios,No diálogo,No registrada/no existente,Particular,Desalojo,"Un grupo de vecinas y vecinos del sector de Miravalles 2 de Tirrases de Curridabat protesta frente a Casa Presidencial en contra de la orden de desalojo del MINSA, que los obliga a abandonar sus casas por riesgo de deslizamiento. Según las personas manifestantes, requieren más tiempo para encontrar una nueva vivienda, además denuncian que el estado no les ha dado un seguimiento para reubicarlos de manera digna. Las personas portan carteles con consignas como: “Respeto a nuestros derechos básicos”, “Por un desalojo digno”, “Merecemos un seguimiento digno”, “Solo quiero un techo donde crecer”, “La patria somos todos”. 
",CR Hoy: SALUD CONFIRMA DESALOJO DE FAMILIAS DE TIRRASES EN CUANTO TERMINEN NOTIFICACIONES (2024-08-24)
12991,2024-08-28,Limón,Siquirres,Regional,Declaración pública,Convocatoria,Vecinas y vecinos de La Lucha de Siquirres ,Grupos y/u organizaciones de vecinos y vecinas,,Oponerse al nuevo reglamento para el cobro de arriendo en terrenos ubicados en las fincas de JAPDEVA,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos","Junta de Administración Portuaria y de Desarrollo Económico de la Vertiente Atlántica de Costa Rica, gobierno de Rodrigo Chaves Robles",Instituciones autónomas,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un afiche, un grupo de vecinas y vecinos de La Lucha de Siquirres convocan a la comunidad a una reunión para debatir y organizarse ante decisión de JAPDEVA de anular los contratos de arrendamiento de 100 años a tan solo 20 años. Para las personas manifestantes, esto pone en riesgo su derecho a la vivienda. La actividad se realizará el 31 de agosto en el salón comunal. 
",SURCOS: VECINOS DE LA LUCHA DE SIQUIRRES SE ORGANIZAN ANTE DECISIÓN DE JAPDEVA QUE PONE EN RIESGO SUS VIVIENDAS  (2024-08-28)
13054,2024-08-20,Limón,Limón,Regional,Ciber-acciones o acciones colectivas en Internet,,Bloque de Vivienda,Grupos y/u organizaciones de vivienda,,Oponerse al nuevo reglamento para el cobro de arriendo en terrenos ubicados en las fincas de JAPDEVA,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos","Junta de Administración Portuaria y de Desarrollo Económico de la Vertiente Atlántica de Costa Rica, gobierno de Rodrigo Chaves Robles",Instituciones autónomas,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"Mediante un video difundido en redes sociales, el Bloque de Vivienda denuncia que JAPDEVA intenta quitar las casas a vecinos y vecinas de Las Barras (Pacuare, Colorado, en San Francisco, Tortuguero, la Lucha, Parismina), las cuales fueron construidas mediante el bono de vivienda. La propuesta es desalojar a las familias para luego alquilarles las mismas propiedades. La organización expresa su preocupación por esta situación, ya que consideran que atenta contra sus derechos, y piden una solución justa para no perder sus hogares.",SURCOS: INSÓLITO: JAPDEVA QUIERE QUITARLES SUS CASAS A VECINOS DE LAS BARRAS CONSTRUIDAS CON EL BONO Y ALQUILÁRSELAS (2024-08-20)
13063,2024-09-03,Puntarenas,Buenos Aires,Nacional,Declaración pública,Pronunciamiento,Colectivo de Apoyo a doña Digna Rivera,Grupos y/u organizaciones de ciudadanos y ciudadanas,,Exigir justicia por el asesinato del líder indígena Jehry Rivera Rivera,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas indígenas,Tribunales de Justicia de Pérez Zeledón,Poder Judicial,No registrada/no existente,No registrada/no existente,Particular,No registrado o no existente,"En el marco de la reanudación del juicio por el asesinato del indígena recuperador de tierras, Jerhy Rivera Rivera, el Colectivo de Apoyo a doña Digna Rivera, emite un comunicado en el que denuncia que el Estado costarricense es cómplice del homicidio por inacción, y por fomentar la impunidad cuando se trata de agresiones a integrantes de los pueblos indígenas. El colectivo denuncia que si el Estado hubiera cumplido con las medidas cautelares “MC 321-12” del 2015, en las que se definió que debía garantizar y resguardar la vida e integridad física de los Pueblos Bröran de Térraba y Bribri de Salitre, los asesinatos de Sergio Rojas Ortiz y Jerhy Rivera Rivera no se hubieran dado. Asimismo, hacen un llamado a la población a acompañar en los Tribunales de Justicia y a solidarizarse  en este proceso crucial.
","SURCOS: CONTINÚA EL JUICIO POR EL ASESINATO DE JERHY RIVERA: LLAMADO A LA SOLIDARIDAD (2024-09-06), SURCOS: DRAMÁTICO TESTIMONIO DE JERHY RIVERA RIVERA DESPUÉS DEL ATENTADO DE HOMICIDIO QUE SUFRIÓ EN 2013 (2024-09-03)"
